Algebraic data type, نوع بيانات جبري ,Arabeyes Technical Dictionary
Algebraic structure, بنية جبرية ,Arabeyes Technical Dictionary
Algorism, خوارزميّة ,Arabeyes Technical Dictionary
Algorithm, خوارزمية ,Arabeyes Technical Dictionary
Alias, كنية ,Arabeyes Technical Dictionary
Aliasing, تسنن ,Arabeyes Technical Dictionary
Aliasing bug, خلل تسنّن ,Arabeyes Technical Dictionary
Align, محاذاة ,Arabeyes Technical Dictionary
Alignment, محاذاة ,Arabeyes Technical Dictionary
Allocate,  ,Arabeyes Technical Dictionary
Allow, سماح ,Arabeyes Technical Dictionary
Alpha, ألفا ,Arabeyes Technical Dictionary
Alpha channel, قناة ألفا ,Arabeyes Technical Dictionary
Alphanumeric, أبجدي عددي ,Arabeyes Technical Dictionary
ALSA, بنية لينكس الصوتية المتقدمة ,Arabeyes Technical Dictionary
Alter, تغيير ,Arabeyes Technical Dictionary
Alteration, تغيير ,Arabeyes Technical Dictionary
Alternating, تناوبي ,Arabeyes Technical Dictionary
Alternative, بديل ,Arabeyes Technical Dictionary
Amount, كمية ,Arabeyes Technical Dictionary
Amper, أمبير ,Arabeyes Technical Dictionary
Amplify, تضخيم ,Arabeyes Technical Dictionary
Amplitude, سعة ,Arabeyes Technical Dictionary
Analog, نظير ,Arabeyes Technical Dictionary
Analogue computer, حاسوب تماثلي ,Arabeyes Technical Dictionary
Analysis, تحليل ,Arabeyes Technical Dictionary
Anchor, مربط ,Arabeyes Technical Dictionary
Anchoring, إرساء ,Arabeyes Technical Dictionary
AND, و ,Arabeyes Technical Dictionary
Angle, زاوية ,Arabeyes Technical Dictionary
Angle bracket, مكسورة ,Arabeyes Technical Dictionary
Animate, تحريك ,Arabeyes Technical Dictionary
Animation, تحريكة ,Arabeyes Technical Dictionary
Anisotropy,  ,Arabeyes Technical Dictionary
Annotate, تعليق ,Arabeyes Technical Dictionary
Annotation, تعليق :: حاشية ,Arabeyes Technical Dictionary
Announce, إعلان ,Arabeyes Technical Dictionary
Announcement, إعلان ,Arabeyes Technical Dictionary
Anonymous, مجهول الاسم ,Arabeyes Technical Dictionary
Answer mode, نمط الإجابة ,Arabeyes Technical Dictionary
Antialias,  ,Arabeyes Technical Dictionary
Anti-aliasing, إزالة التسنن ,Arabeyes Technical Dictionary
Antialiasing, إزالة التسنن ,Arabeyes Technical Dictionary
Antisymmetric, لا متماثل ,Arabeyes Technical Dictionary
Anti virus, مضاد فيروسات ,Arabeyes Technical Dictionary
Antivirus, مضاد فيروسات ,Arabeyes Technical Dictionary
Antivirus software, برنامج مضاد للفيروسات ,Arabeyes Technical Dictionary
Anytime algorithm, خوارزمية لا وقتية ,Arabeyes Technical Dictionary
API, واجهة برمجة التطبيقات ,Arabeyes Technical Dictionary
Apostrophe, فاصلة عليا ,Arabeyes Technical Dictionary
Appear, ظهور ,Arabeyes Technical Dictionary
Append, إلحاق ,Arabeyes Technical Dictionary
Applet, بريمج ,Arabeyes Technical Dictionary
Application, تطبيق ,Arabeyes Technical Dictionary
Application Launcher, مشغل التطبيق ,Arabeyes Technical Dictionary
Applix,  ,Arabeyes Technical Dictionary
Apply, تطبيق ,Arabeyes Technical Dictionary
Appointment, موعد ,Arabeyes Technical Dictionary
Approval, إقرار ,Arabeyes Technical Dictionary
Approve, إقرار ,Arabeyes Technical Dictionary
Approved, مصادق عليه ,Arabeyes Technical Dictionary
Approximate, تقريبي ,Arabeyes Technical Dictionary
Approximation algorithm, خوارزمية تقريب ,Arabeyes Technical Dictionary
Arabisation,  ,Arabeyes Technical Dictionary
Arabization,  ,Arabeyes Technical Dictionary
Arbitrary, كيفي ,Arabeyes Technical Dictionary
Arc, قوس ,Arabeyes Technical Dictionary
Architecture, بُنية ,Arabeyes Technical Dictionary
Archive, أرشيف ,Arabeyes Technical Dictionary
Archive site, موقع أرشيفي ,Arabeyes Technical Dictionary
Archiving, أرشفة ,Arabeyes Technical Dictionary
Area, منطقة ,Arabeyes Technical Dictionary
Area grid, مربعات المساحة ,Arabeyes Technical Dictionary
Arena, حلبة ,Arabeyes Technical Dictionary
Argument, مُعطى ,Arabeyes Technical Dictionary
Arity, رتبية ,Arabeyes Technical Dictionary
Arrange, ترتيب ,Arabeyes Technical Dictionary
Arrangement, ترتيبة ,Arabeyes Technical Dictionary
Array, مصفوفة ,Arabeyes Technical Dictionary
Arrow, سهم ,Arabeyes Technical Dictionary
Arrowhead, رأس سهم ,Arabeyes Technical Dictionary
Arrow key, مفتاح السهم ,Arabeyes Technical Dictionary
Article, مقالة ,Arabeyes Technical Dictionary
Artifact,  ,Arabeyes Technical Dictionary
Artificial intelligence, ذكاء اصطناعي ,Arabeyes Technical Dictionary
Artificial neural network, شبكة عصبية اصطناعية ,Arabeyes Technical Dictionary
Artwork,  ,Arabeyes Technical Dictionary
Ascender, صاعد ,Arabeyes Technical Dictionary
Ascending, تصاعدي ,Arabeyes Technical Dictionary
Ascending order, ترتيب تصاعدي ,Arabeyes Technical Dictionary
Ascii, أسكي ,Arabeyes Technical Dictionary
Aspect, مظهر ,Arabeyes Technical Dictionary
Aspect-oriented programming, برمجة موجهة بالمظاهر ,Arabeyes Technical Dictionary
Aspect ratio, نسبة باعيّة ,Arabeyes Technical Dictionary
Assembler, مُجمِّع ,Arabeyes Technical Dictionary
Assembly code, شفرة تجميع ,Arabeyes Technical Dictionary
Assembly language, لغة تجميعية ,Arabeyes Technical Dictionary
Asserted,  ,Arabeyes Technical Dictionary
Assertion, توكيد ,Arabeyes Technical Dictionary
Asset management, تسيير الممتلكات ,Arabeyes Technical Dictionary
Assign,  ,Arabeyes Technical Dictionary
Assignment, إسناد ,Arabeyes Technical Dictionary
Assignment problem, مسألة تعيين (برمجة) ,Arabeyes Technical Dictionary
Assistant, مساعد ,Arabeyes Technical Dictionary
Associative array, مصفوفة ترابطية ,Arabeyes Technical Dictionary
Associative memory, ذاكرة ترابطية ,Arabeyes Technical Dictionary
Asterisk,  ,Arabeyes Technical Dictionary
Asymmetric, لامُتناظِر ,Arabeyes Technical Dictionary
Asymmetrical, لا تناظري ,Arabeyes Technical Dictionary
Asymmetrical modulation,  ,Arabeyes Technical Dictionary
Asynchronous, لا تزامني ,Arabeyes Technical Dictionary
Asynchronous logic, منطق لا تزامني ,Arabeyes Technical Dictionary
Atom, ذرة ,Arabeyes Technical Dictionary
Atomic, ذري ,Arabeyes Technical Dictionary
Atomicity,  ,Arabeyes Technical Dictionary
At sign, العلامة @ ,Arabeyes Technical Dictionary
Attach, إرفاق ,Arabeyes Technical Dictionary
Attachment, مرفق ,Arabeyes Technical Dictionary
Attempt, محاولة ,Arabeyes Technical Dictionary
Attribute, خاصية ,Arabeyes Technical Dictionary
Audio, سمعي ,Arabeyes Technical Dictionary
Audiographic, سمعي تخطيطي ,Arabeyes Technical Dictionary
Audiographic teleconferencing, اجتماع سمعي تخطيطي عن بعد ,Arabeyes Technical Dictionary
Audit, تدقيق ,Arabeyes Technical Dictionary
Authenticate,  ,Arabeyes Technical Dictionary
Authentication, استيثاق ,Arabeyes Technical Dictionary
Authentication ticket, قسيمة استيثاق ,Arabeyes Technical Dictionary
Authenticity, صحة ,Arabeyes Technical Dictionary
Authentify,  ,Arabeyes Technical Dictionary
Author, مؤلف ,Arabeyes Technical Dictionary
Authorization, تصريح ,Arabeyes Technical Dictionary
Authorize,  ,Arabeyes Technical Dictionary
Auto, آلي ,Arabeyes Technical Dictionary
Autocompletion, اتمام تلقائي ,Arabeyes Technical Dictionary
Autoconfiguration, ضبط آلي ,Arabeyes Technical Dictionary
Autodetect, كشف آلي ,Arabeyes Technical Dictionary
Autofill, ملء آلي ,Arabeyes Technical Dictionary
Autoloader, محمّل آلي ,Arabeyes Technical Dictionary
Automata theory, نظرية الآلات الذاتية التشغيل ,Arabeyes Technical Dictionary
Automated testing, اختبار آلي ,Arabeyes Technical Dictionary
Automatic, آلي ,Arabeyes Technical Dictionary
Automatically, آليا ,Arabeyes Technical Dictionary
Automation, تشغيل آلي ,Arabeyes Technical Dictionary
Automaton, مشتغل آلي ,Arabeyes Technical Dictionary
Autotrace, تتبع آلي ,Arabeyes Technical Dictionary
Auxiliary, إضافي ,Arabeyes Technical Dictionary
Auxiliary storage, تخزين إضافي ,Arabeyes Technical Dictionary
Availability, توفر ,Arabeyes Technical Dictionary
Available, متوفر ,Arabeyes Technical Dictionary
Avatar, أفتار ,Arabeyes Technical Dictionary
Average, متوسط ,Arabeyes Technical Dictionary
Average seek time, مدة بحث متوسطة ,Arabeyes Technical Dictionary
Away, غائب ,Arabeyes Technical Dictionary
Away message, رسالة غياب ,Arabeyes Technical Dictionary
Axial, محوري ,Arabeyes Technical Dictionary
Axiom, بديهية ,Arabeyes Technical Dictionary
Axiomatic semantics, دلاليات بديهية ,Arabeyes Technical Dictionary
Axiomatic set theory, نظرية المجموعات البديهية ,Arabeyes Technical Dictionary
Axis, محور ,Arabeyes Technical Dictionary
Babbleprint, بصمة منطوقة ,Arabeyes Technical Dictionary
Back, رجوع ,Arabeyes Technical Dictionary
Backbone, عِماد ,Arabeyes Technical Dictionary
Backbone site, موقع عمادي ,Arabeyes Technical Dictionary
Back door, مدخل سري للنظام ,Arabeyes Technical Dictionary
Backend, منتهى خلفي ,Arabeyes Technical Dictionary
Back-end, نهاية خلفية ,Arabeyes Technical Dictionary
Background, خلفية ,Arabeyes Technical Dictionary
Background directory,  ,Arabeyes Technical Dictionary
Background processing, معالجة في الخلفية ,Arabeyes Technical Dictionary
Back link,  ,Arabeyes Technical Dictionary
Backlog,  ,Arabeyes Technical Dictionary
Backport, حمل عكسي ,Arabeyes Technical Dictionary
Back-propagation, انتشار خلفي ,Arabeyes Technical Dictionary
Back quote, فاصلة عليا مائلة ,Arabeyes Technical Dictionary
Backronym, اسم موجز عكسيا ,Arabeyes Technical Dictionary
Backside cache, مخَبأ خلفي ,Arabeyes Technical Dictionary
Backslash, خط مائل عكسي ,Arabeyes Technical Dictionary
Backspace, فراغ للخلف ,Arabeyes Technical Dictionary
Backtick, فاصلة عليا مائلة ,Arabeyes Technical Dictionary
Backtrace,  ,Arabeyes Technical Dictionary
Backtracking, تتبع خلفي ,Arabeyes Technical Dictionary
Backup, احتياطي، نسخ احتياطي، نسخة احتياطية ,Arabeyes Technical Dictionary
Backup rotation, تعاقب احتياطي ,Arabeyes Technical Dictionary
Backup software, برنامج احتياط ,Arabeyes Technical Dictionary
Backward analysis, تحليل إلى الخلف ,Arabeyes Technical Dictionary
Backward chaining, صَفد إلى الخلف ,Arabeyes Technical Dictionary
Backward compatibility, توافق الإصدارات السابقة ,Arabeyes Technical Dictionary
Backward compatible, متوافق خلفيا ,Arabeyes Technical Dictionary
Balance, توازن ,Arabeyes Technical Dictionary
Ban,  ,Arabeyes Technical Dictionary
Bandwidth, حيز النطاق ,Arabeyes Technical Dictionary
Banner, لافتة ,Arabeyes Technical Dictionary
Bar, شريط ,Arabeyes Technical Dictionary
Bareword,  ,Arabeyes Technical Dictionary
Base, أساس :: قاعدة ,Arabeyes Technical Dictionary
Baseband, نطاق أساسي ,Arabeyes Technical Dictionary
Base class, صنف أساسي ,Arabeyes Technical Dictionary
Baseline, خط أساسي ,Arabeyes Technical Dictionary
Base memory, ذاكرة أساسية ,Arabeyes Technical Dictionary
Basename, اسم أساسي ,Arabeyes Technical Dictionary
Batch, دُفعة ,Arabeyes Technical Dictionary
Batcher, معالج دفعات ,Arabeyes Technical Dictionary
Batch file, ملف الدُفعات ,Arabeyes Technical Dictionary
Batching, تدفيع ,Arabeyes Technical Dictionary
Batch processing, معالجة بالدفعات ,Arabeyes Technical Dictionary
Battery, بطارية ,Arabeyes Technical Dictionary
Baud, بود ,Arabeyes Technical Dictionary
Baud rate, معدل الباود ,Arabeyes Technical Dictionary
Bay, فتحة ,Arabeyes Technical Dictionary
Beam,  ,Arabeyes Technical Dictionary
Beamer, باث ,Arabeyes Technical Dictionary
Beam search, بحث دعاميع ,Arabeyes Technical Dictionary
Beep, صفير ,Arabeyes Technical Dictionary
Beeper, مصفّر ,Arabeyes Technical Dictionary
Behavior, سلوك ,Arabeyes Technical Dictionary
Bell, جرس ,Arabeyes Technical Dictionary
Bell curve, منحنى جرسي ,Arabeyes Technical Dictionary
Benchmark, قياس الأداء ,Arabeyes Technical Dictionary
Best effort, أفضل جهد (خدمة ...) ,Arabeyes Technical Dictionary
Beta, بيتا ,Arabeyes Technical Dictionary
Beta abstraction, تجريد بيتا ,Arabeyes Technical Dictionary
Beta conversion, تحويل بيتا ,Arabeyes Technical Dictionary
Beta reduction, اختزال بيتا ,Arabeyes Technical Dictionary
Beta testing, اختبار بيتا ,Arabeyes Technical Dictionary
Beta version, إصدار بيتا ,Arabeyes Technical Dictionary
Bibliography, المراجع ,Arabeyes Technical Dictionary
BiDi,  ,Arabeyes Technical Dictionary
Bidi, ثنائية الاتجاه ,Arabeyes Technical Dictionary
Bidirectional printing, طباعة ثنائية الاتجاه ,Arabeyes Technical Dictionary
Big-endian, طرفي-كبير ,Arabeyes Technical Dictionary
Bijection, تقابل ,Arabeyes Technical Dictionary
Bilinear patch, رقعة ثنائية ,Arabeyes Technical Dictionary
Binary, ثنائي ,Arabeyes Technical Dictionary
Binary coded decimal, عشري مرمَّز ثنائيا ,Arabeyes Technical Dictionary
Binary exponential backoff, رقود أسي ثنائي ,Arabeyes Technical Dictionary
Binary large object, كائن ثنائي ضخم ,Arabeyes Technical Dictionary
Binary package, حزمة ثنائية ,Arabeyes Technical Dictionary
Binary search, بحث ثنائي ,Arabeyes Technical Dictionary
Binary tree, شجرة ثنائية ,Arabeyes Technical Dictionary
Bind, ربط ,Arabeyes Technical Dictionary
Binding,  ,Arabeyes Technical Dictionary
Binding handle, مقبض ارتباط ,Arabeyes Technical Dictionary
Binding-time analysis, تحليل وقت الارتباط ,Arabeyes Technical Dictionary
BIOS,  ,Arabeyes Technical Dictionary
Bipolar, ثنائي القطب ,Arabeyes Technical Dictionary
Bit, بِتة :: ثنائية :: ذرة ,Arabeyes Technical Dictionary
Bit block transfer, نقل كتلة بت ,Arabeyes Technical Dictionary
Bit depth, عمق البِت ,Arabeyes Technical Dictionary
Bit gravity, جاذبية البِت ,Arabeyes Technical Dictionary
Bitmap, خارطة ثنائية ,Arabeyes Technical Dictionary
Bitmap display, عرض نقطي ,Arabeyes Technical Dictionary
Bitmap font, خط نقطي ,Arabeyes Technical Dictionary
Bit mask, قناع البت ,Arabeyes Technical Dictionary
Bit pattern, متسلسلة ثنائية ,Arabeyes Technical Dictionary
Bit plane, مسطح ثنائية ,Arabeyes Technical Dictionary
Bit rate, معدل البت ,Arabeyes Technical Dictionary
Bit slice, شريحة ثنائيات ,Arabeyes Technical Dictionary
Bit string, سلسلة ثنائيات ,Arabeyes Technical Dictionary
Bitwise, بتّي ,Arabeyes Technical Dictionary
Bitwise complement,  ,Arabeyes Technical Dictionary
Blacklist,  ,Arabeyes Technical Dictionary
Blank, فراغ، فارغ ,Arabeyes Technical Dictionary
Blend,  ,Arabeyes Technical Dictionary
Blending, مزج ,Arabeyes Technical Dictionary
Blink, وميض ,Arabeyes Technical Dictionary
Blinking cursor, مؤشر نابض ,Arabeyes Technical Dictionary
Bloat,  ,Arabeyes Technical Dictionary
Block, صدّ :: حظر :: كتلة ,Arabeyes Technical Dictionary
Block buffer,  ,Arabeyes Technical Dictionary
Blocked, ممنوع ,Arabeyes Technical Dictionary
Blocked record, تسجيلة مكتَّلة ,Arabeyes Technical Dictionary
Block-structured, ذو بنية كُتل ,Arabeyes Technical Dictionary
Block (unit), كتلة ,Arabeyes Technical Dictionary
Block (verb), تجميد ,Arabeyes Technical Dictionary
Blog, مدوّنة ,Arabeyes Technical Dictionary
Blogosphere,  ,Arabeyes Technical Dictionary
Bluetooth,  ,Arabeyes Technical Dictionary
Blur, ضبابية (رسم) :: عدم وضوح ,Arabeyes Technical Dictionary
Blu-ray,  ,Arabeyes Technical Dictionary
Blur image, صورة غائمة ,Arabeyes Technical Dictionary
Board, لوحة ,Arabeyes Technical Dictionary
Body, متن ,Arabeyes Technical Dictionary
Bogon filter,  ,Arabeyes Technical Dictionary
Bold, ثخين ,Arabeyes Technical Dictionary
Bolt,  ,Arabeyes Technical Dictionary
Boo,  ,Arabeyes Technical Dictionary
Book, كتاب ,Arabeyes Technical Dictionary
Book mark, علامة موقع ,Arabeyes Technical Dictionary
Bookmark, علامة ,Arabeyes Technical Dictionary
Boolean, منطقي ,Arabeyes Technical Dictionary
Boot, إقلاع ,Arabeyes Technical Dictionary
Boot block, كتلة إقلاع ,Arabeyes Technical Dictionary
Boot image, صورة إقلاع ,Arabeyes Technical Dictionary
Booting, إقلاع ,Arabeyes Technical Dictionary
Boot loader, محمّل الإقلاع ,Arabeyes Technical Dictionary
Bootloader, محمّل إقلاع ,Arabeyes Technical Dictionary
Bootrom, ذقف إقلاع (ذاكرة إقلاع مقروءة فقط) ,Arabeyes Technical Dictionary
Boot server, خادم إقلاع ,Arabeyes Technical Dictionary
Bootstrap, نظام تمهيد تشغيل الكمبيوتر ,Arabeyes Technical Dictionary
Bootstrap loader, محمّل إقلاع ,Arabeyes Technical Dictionary
Boot virus, فايروس إقلاع ,Arabeyes Technical Dictionary
Border, حد ,Arabeyes Technical Dictionary
Bot, آلي ,Arabeyes Technical Dictionary
Bottom, أسفل ,Arabeyes Technical Dictionary
Bottom-unique,  ,Arabeyes Technical Dictionary
Bounce, يرتد ,Arabeyes Technical Dictionary
Bounce message, رسالة وُثوب ,Arabeyes Technical Dictionary
Bound, مُقَيَّد ,Arabeyes Technical Dictionary
Boundary scan, مسح حدودي ,Arabeyes Technical Dictionary
Boundary value analysis,  ,Arabeyes Technical Dictionary
Bounded, مُتَنَاه،مَحْدُود ,Arabeyes Technical Dictionary
Boundedly complete,  ,Arabeyes Technical Dictionary
Bounding box, مربع إحاطة ,Arabeyes Technical Dictionary
Bound variable,  ,Arabeyes Technical Dictionary
Box, مربع، صندوق ,Arabeyes Technical Dictionary
Boxed comment, تعليق مربع ,Arabeyes Technical Dictionary
Bpp,  ,Arabeyes Technical Dictionary
Brace, حاصرة ,Arabeyes Technical Dictionary
Bracket, قوس ,Arabeyes Technical Dictionary
Bracket abstraction, تجريد الأقواس ,Arabeyes Technical Dictionary
Braille, برايل ,Arabeyes Technical Dictionary
Branch, فرع ,Arabeyes Technical Dictionary
Branch coverage testing, اختبار تغطية التفرّع ,Arabeyes Technical Dictionary
Branch delay slot, فتحة تمهيل التفرّع ,Arabeyes Technical Dictionary
Branch prediction, توقع التفرّع ,Arabeyes Technical Dictionary
Brand,  ,Arabeyes Technical Dictionary
Breadth-first search, البحث بالعرض أولا ,Arabeyes Technical Dictionary
Break, كسر ,Arabeyes Technical Dictionary
Break point, نقطة انقطاع,نقطة كسر ,Arabeyes Technical Dictionary
Breakpoint, نقطة المقاطعة ,Arabeyes Technical Dictionary
Break (program), انقطاع ,Arabeyes Technical Dictionary
Break statement, عبارة انقطاع ,Arabeyes Technical Dictionary
Bricks, طوب ,Arabeyes Technical Dictionary
Bridge, جسر ,Arabeyes Technical Dictionary
Bridge (noun), جسر ,Arabeyes Technical Dictionary
Bridge (verb), جَسر ,Arabeyes Technical Dictionary
Briefcase, حقيبة ,Arabeyes Technical Dictionary
Brightness, السطوع ,Arabeyes Technical Dictionary
Broadband, نطاق ترددي واسع،نطاق واسع ,Arabeyes Technical Dictionary
Broadcast, بث ,Arabeyes Technical Dictionary
Broadcast quality video, مرئية ذات جودة إذاعية ,Arabeyes Technical Dictionary
Brochure, كتيب :: كرّاسة ,Arabeyes Technical Dictionary
Broken, معطوب، مكسور ,Arabeyes Technical Dictionary
Broken line, خط مقطوع ,Arabeyes Technical Dictionary
Browse, تصفّح ,Arabeyes Technical Dictionary
Browser, متصفح ,Arabeyes Technical Dictionary
Brush, فرشاة ,Arabeyes Technical Dictionary
Brute force, قوة قاسية ,Arabeyes Technical Dictionary
Brute force attack, هجوم بالقوة القاسية ,Arabeyes Technical Dictionary
BTP,  ,Arabeyes Technical Dictionary
Bubble,  ,Arabeyes Technical Dictionary
Buddy, صاحب ,Arabeyes Technical Dictionary
Buffer, صِوان ,Arabeyes Technical Dictionary
Buffered write-through,  ,Arabeyes Technical Dictionary
Buffering,  ,Arabeyes Technical Dictionary
Buffer overflow, طوفان الصِوان ,Arabeyes Technical Dictionary
Bug, علَّة ,Arabeyes Technical Dictionary
Bug fix, إصلاح خلل ,Arabeyes Technical Dictionary
Bug fix release, إصدار مصلِح ,Arabeyes Technical Dictionary
Bug tracking system, نظام متابعة خلال ,Arabeyes Technical Dictionary
Build, بناء ,Arabeyes Technical Dictionary
Built-in, مضمّن ,Arabeyes Technical Dictionary
Bullet, كرية تعداد،رصاصة ,Arabeyes Technical Dictionary
Bulletin Board, ساحة نقاش ,Arabeyes Technical Dictionary
Bulletin board system, نظام لوحة النشرات ,Arabeyes Technical Dictionary
Bullet list,  ,Arabeyes Technical Dictionary
Bundle,  ,Arabeyes Technical Dictionary
Bundled,  ,Arabeyes Technical Dictionary
Burn,  ,Arabeyes Technical Dictionary
Bus, ناقل ,Arabeyes Technical Dictionary
Bus arbitration, حكم النواقل ,Arabeyes Technical Dictionary
Bus cycle, دورة نواقل ,Arabeyes Technical Dictionary
Bus device, جهاز ناقل ,Arabeyes Technical Dictionary
Bus error, خطأ ناقل ,Arabeyes Technical Dictionary
Business to business, متاجرة بين عمل وعمل ,Arabeyes Technical Dictionary
Bus master, رئيس نواقل ,Arabeyes Technical Dictionary
Bus mastering, رئاسة نواقل ,Arabeyes Technical Dictionary
Bus network, شبكة مسروية،شبكة خطّية ,Arabeyes Technical Dictionary
Bus priority, أولوية نواقل ,Arabeyes Technical Dictionary
Bus request, طلب ناقل ,Arabeyes Technical Dictionary
Bus sizing, تحجيم نواقل ,Arabeyes Technical Dictionary
Bus watcher, مراقب الناقل ,Arabeyes Technical Dictionary
Busy, مشغول ,Arabeyes Technical Dictionary
Button, زر ,Arabeyes Technical Dictionary
Button binding, ربط أزرار ,Arabeyes Technical Dictionary
Button grab,  ,Arabeyes Technical Dictionary
Buzz, بزبز ,Arabeyes Technical Dictionary
Bypass, تجاوز ,Arabeyes Technical Dictionary
Byte, بايت :: جزئ ,Arabeyes Technical Dictionary
Byte addressing, عنونة ثمانيات ,Arabeyes Technical Dictionary
Byte-code, شفرةٌ ثمانية ,Arabeyes Technical Dictionary
Byte-code compiler, مترجم شفرة ثمانية ,Arabeyes Technical Dictionary
Byte-code interpreter, مؤوّل شفرة ثمانية ,Arabeyes Technical Dictionary
Byte compiler, مترجم شفرة ثمانية ,Arabeyes Technical Dictionary
Byte order, ترتيب ثمانيات ,Arabeyes Technical Dictionary
C, سي ,Arabeyes Technical Dictionary
Cable, كبل ,Arabeyes Technical Dictionary
